Scopus Q1,Dosen di Jurnal Eksternal,12000000,8000000
Scopus Q1,Dosen di Jurnal Internal,6000000,4000000
Scopus Q1,Dengan Mahasiswa di Eksternal,6000000,4000000
Scopus Q1,Dengan Mahasiswa di Internal,3000000,2000000
Scopus Q1,Dengan Mahasiswa di Eksternal (first author),3000000,2000000
Scopus Q1,Dengan Mahasiswa di Internal (first author),1500000,1000000
Scopus Q2,Dosen di Jurnal Eksternal,9000000,6000000
Scopus Q2,Dosen di Jurnal Internal,4500000,3000000
Scopus Q2,Dengan Mahasiswa di Eksternal,4500000,3000000
Scopus Q2,Dengan Mahasiswa di Internal,2250000,1500000
Scopus Q2,Dengan Mahasiswa di Eksternal (first author),2250000,1500000
Scopus Q2,Dengan Mahasiswa di Internal (first author),1125000,750000
Scopus Q3,Dosen di Jurnal Eksternal,6000000,4000000
Scopus Q3,Dosen di Jurnal Internal,3000000,2000000
Scopus Q3,Dengan Mahasiswa di Eksternal,3000000,2000000
Scopus Q3,Dengan Mahasiswa di Internal,1500000,1000000
Scopus Q3,Dengan Mahasiswa di Eksternal (first author),1500000,1000000
Scopus Q3,Dengan Mahasiswa di Internal (first author),750000,500000
Scopus Q4,Dosen di Jurnal Eksternal,4500000,3000000
Scopus Q4,Dosen di Jurnal Internal,2250000,1500000
Scopus Q4,Dengan Mahasiswa di Eksternal,2250000,1500000
Scopus Q4,Dengan Mahasiswa di Internal,1125000,750000
Scopus Q4,Dengan Mahasiswa di Eksternal (first author),1125000,750000
Scopus Q4,Dengan Mahasiswa di Internal (first author),562500,375000
Internasional selain Scopus,Dosen di Jurnal Eksternal,3000000,2000000
Internasional selain Scopus,Dosen di Jurnal Internal,1500000,1000000
Internasional selain Scopus,Dengan Mahasiswa di Eksternal,1500000,1000000
Internasional selain Scopus,Dengan Mahasiswa di Internal,750000,500000
Internasional selain Scopus,Dengan Mahasiswa di Eksternal (first author),750000,500000
Internasional selain Scopus,Dengan Mahasiswa di Internal (first author),375000,250000
Prosiding Terindeks Scopus/Thomson,Dosen di Jurnal Eksternal,1800000,1200000
Prosiding Terindeks Scopus/Thomson,Dosen di Jurnal Internal,900000,600000
Prosiding Terindeks Scopus/Thomson,Dengan Mahasiswa di Eksternal,900000,600000
Prosiding Terindeks Scopus/Thomson,Dengan Mahasiswa di Internal,450000,300000
Prosiding Terindeks Scopus/Thomson,Dengan Mahasiswa di Eksternal (first author),450000,300000
Prosiding Terindeks Scopus/Thomson,Dengan Mahasiswa di Internal (first author),225000,150000
SINTA 1,Dosen di Jurnal Eksternal,4500000,3000000
SINTA 1,Dosen di Jurnal Internal,2250000,1500000
SINTA 1,Dengan Mahasiswa di Eksternal,2250000,1500000
SINTA 1,Dengan Mahasiswa di Internal,1125000,750000
SINTA 1,Dengan Mahasiswa di Eksternal (first author),1125000,750000
SINTA 1,Dengan Mahasiswa di Internal (first author),562500,375000
SINTA 2,Dosen di Jurnal Eksternal,3000000,2000000
SINTA 2,Dosen di Jurnal Internal,1500000,1000000
SINTA 2,Dengan Mahasiswa di Eksternal,1500000,1000000
SINTA 2,Dengan Mahasiswa di Internal,750000,500000
SINTA 2,Dengan Mahasiswa di Eksternal (first author),750000,500000
SINTA 2,Dengan Mahasiswa di Internal (first author),375000,250000
SINTA 3,Dosen di Jurnal Eksternal,2400000,1600000
SINTA 3,Dosen di Jurnal Internal,1200000,800000
SINTA 3,Dengan Mahasiswa di Eksternal,1200000,800000
SINTA 3,Dengan Mahasiswa di Internal,600000,400000
SINTA 3,Dengan Mahasiswa di Eksternal (first author),600000,400000
SINTA 3,Dengan Mahasiswa di Internal (first author),300000,200000
SINTA 4,Dosen di Jurnal Eksternal,1500000,1000000
SINTA 4,Dosen di Jurnal Internal,750000,500000
SINTA 4,Dengan Mahasiswa di Eksternal,750000,500000
SINTA 4,Dengan Mahasiswa di Internal,375000,250000
SINTA 4,Dengan Mahasiswa di Eksternal (first author),375000,250000
SINTA 4,Dengan Mahasiswa di Internal (first author),187500,125000
SINTA 5,Dosen di Jurnal Eksternal,450000,300000
SINTA 5,Dosen di Jurnal Internal,225000,150000
SINTA 5,Dengan Mahasiswa di Eksternal,225000,150000
SINTA 5,Dengan Mahasiswa di Internal,112500,75000
SINTA 5,Dengan Mahasiswa di Eksternal (first author),112500,75000
SINTA 5,Dengan Mahasiswa di Internal (first author),56250,37500
SINTA 6,Dosen di Jurnal Eksternal,300000,200000
SINTA 6,Dosen di Jurnal Internal,150000,100000
SINTA 6,Dengan Mahasiswa di Eksternal,150000,100000
SINTA 6,Dengan Mahasiswa di Internal,75000,50000
SINTA 6,Dengan Mahasiswa di Eksternal (first author),75000,50000
SINTA 6,Dengan Mahasiswa di Internal (first author),37500,25000
Jurnal ISSN,Dosen di Jurnal Eksternal,300000,200000
Jurnal ISSN,Dosen di Jurnal Internal,150000,100000
Jurnal ISSN,Dengan Mahasiswa di Eksternal,150000,100000
Jurnal ISSN,Dengan Mahasiswa di Internal,75000,50000
Jurnal ISSN,Dengan Mahasiswa di Eksternal (first author),75000,50000
Jurnal ISSN,Dengan Mahasiswa di Internal (first author),37500,25000